Name,Description,Notes,Area,Cost per Hour
"Telstra, Level 10, Zone  1, South Tower AHAC",,"level:10, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 10, Zone  2, South Tower AHAC",,"level:10, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 10, Zone  3, South Tower AHAC",,"level:10, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 10, Zone  4, South Tower AHAC",,"level:10, tenant:Telstra, zone:4",205.2,35
"Telstra, Level 11, Zone  1, South Tower AHAC",,"level:11, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 11, Zone  2, South Tower AHAC",,"level:11, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 11, Zone  3, South Tower AHAC",,"level:11, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 11, Zone  4, South Tower AHAC",,"level:11, tenant:Telstra, zone:4",205.2,35
"Telstra, Level 12, Zone  1, South Tower AHAC",,"level:12, tenant:Telstra, zone:1",203.6,35
"Telstra, Level 12, Zone  2, South Tower AHAC",,"level:12, tenant:Telstra, zone:2",203.6,35
"Telstra, Level 12, Zone  3, South Tower AHAC",,"level:12, tenant:Telstra, zone:3",203.6,35
"Telstra, Level 12, Zone  4, South Tower AHAC",,"level:12, tenant:Telstra, zone:4",203.6,35
"Telstra, Level 13, Zone  1, South Tower AHAC",,"level:13, tenant:Telstra, zone:1",204.1,35
"Telstra, Level 13, Zone  2, South Tower AHAC",,"level:13, tenant:Telstra, zone:2",204.1,35
"Telstra, Level 13, Zone  3, South Tower AHAC",,"level:13, tenant:Telstra, zone:3",204.1,35
"Telstra, Level 13, Zone  4, South Tower AHAC",,"level:13, tenant:Telstra, zone:4",204.1,35
"Telstra, Level 14, Zone  1, South Tower AHAC",,"level:14, tenant:Telstra, zone:1",201.25,35
"Telstra, Level 14, Zone  2, South Tower AHAC",,"level:14, tenant:Telstra, zone:2",201.25,35
"Telstra, Level 14, Zone  3, South Tower AHAC",,"level:14, tenant:Telstra, zone:3",201.25,35
"Telstra, Level 14, Zone  4, South Tower AHAC",,"level:14, tenant:Telstra, zone:4",201.25,35
"Minters, Level 15, Zone  1, South Tower AHAC",,"level:15, tenant:Minters, zone:1",219.5,35
"Telstra, Level 15, Zone  2, South Tower AHAC",,"level:15, tenant:Telstra, zone:2",219.5,35
"Telstra, Level 15, Zone  3, South Tower AHAC",,"level:15, tenant:Telstra, zone:3",219.5,35
"Telstra, Level 15, Zone  4, South Tower AHAC",,"level:15, tenant:Telstra, zone:4",219.5,35
"Minters, Level 16, Zone  1, South Tower AHAC",,"level:16, tenant:Minters, zone:1",292.1,35
"Minters, Level 16, Zone  2, South Tower AHAC",,"level:16, tenant:Minters, zone:2",292.1,35
"Minters, Level 16, Zone  3, South Tower AHAC",,"level:16, tenant:Minters, zone:3",292.1,35
"Level 16, Zone  4, South Tower AHAC",,"level:16, tenant:, zone:4",0,35
"Minters, Level 17, Zone  1, South Tower AHAC",,"level:17, tenant:Minters, zone:1",292.1,35
"Minters, Level 17, Zone  2, South Tower AHAC",,"level:17, tenant:Minters, zone:2",292.1,35
"Minters, Level 17, Zone  3, South Tower AHAC",,"level:17, tenant:Minters, zone:3",292.1,35
"Level 17, Zone  4, South Tower AHAC",,"level:17, tenant:, zone:4",0,35
"Minters, Level 18, Zone  1, South Tower AHAC",,"level:18, tenant:Minters, zone:1",292.1,35
"Minters, Level 18, Zone  2, South Tower AHAC",,"level:18, tenant:Minters, zone:2",292.1,35
"Minters, Level 18, Zone  3, South Tower AHAC",,"level:18, tenant:Minters, zone:3",292.1,35
"Level 18, Zone  4, South Tower AHAC",,"level:18, tenant:, zone:4",0,35
"Minters, Level 19, Zone  1, South Tower AHAC",,"level:19, tenant:Minters, zone:1",292.1,35
